budget,id,original_language,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
500000,74725,en,12.203041,2011-09-02,171760,95.0,Released,,Kill List,6.0,210
35000000,2959,en,14.503568,2007-07-04,69307224,91.0,Released,First came love... then came Reverend Frank.,License to Wed,5.2,253
12000000,184,en,40.631671,1997-12-24,39673162,154.0,Released,Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,Jackie Brown,7.3,1514
30000000,10637,en,25.996219,2000-09-29,136706683,113.0,Released,History is written by the winners.,Remember the Titans,7.4,821
6500000,1640,en,28.223163,2004-01-13,98410061,112.0,Released,You think you know who you are. You have no idea.,Crash,7.2,1149
60000000,22954,en,23.85119,2009-12-10,122233971,134.0,Released,His people needed a leader. He gave them a champion.,Invictus,7.0,1125
3768785,25209,en,1.726175,1950-05-17,8000000,107.0,Released,,Annie Get Your Gun,7.3,22
1500000,1961,en,7.5591,2007-10-01,173066,86.0,Released,Fearless! Unstoppable! Ready For His Close-Up!,My Name Is Bruce,5.9,107
20000000,12690,en,16.074397,2008-09-12,20211394,115.0,Released,Feelings get you killed.,Appaloosa,6.3,299
6000000,16158,en,5.537646,1999-07-16,25059640,106.0,Released,From best friends to best men.,The Wood,7.1,34
140000000,9016,en,38.924136,2002-11-26,109578115,95.0,Released,Find your place in the universe.,Treasure Planet,7.2,948
0,13824,en,4.04701,1999-10-08,0,81.0,Released,Dare to dream.,Superstar,5.1,83
20000000,10740,en,7.698075,2004-09-08,0,100.0,Released,Be careful what you wish for.,Birth,5.9,179
100000000,271969,en,29.608322,2016-08-17,94061311,125.0,Released,First to finish. Last to die.,Ben-Hur,5.3,621
43000000,10468,en,5.418921,2000-04-06,0,103.0,Released,The Life of the Party... before she got a life.,28 Days,6.0,208
42000000,49527,en,34.041407,2012-01-13,46221189,102.0,Released,You can only push an innocent man so far,Man on a Ledge,6.2,925
40000000,14325,en,3.87823,2008-10-10,9793496,130.0,Released,He changed our country... one yard at a time.,The Express,7.1,71
30000000,4964,en,22.527211,2007-06-01,219076518,129.0,Released,Save the due date.,Knocked Up,6.2,1214
45000000,9360,en,27.684779,1997-04-11,136885767,89.0,Released,When You Can't Breathe You Can't Scream.,Anaconda,4.7,610
2000000,25376,es,25.894065,2009-08-13,33965843,129.0,Released,,The Secret in Their Eyes,7.8,626
2000000,8885,he,14.08251,2008-06-25,11125849,90.0,Released,,Waltz with Bashir,7.8,291
54000000,8536,en,30.515175,1980-12-04,190458706,127.0,Released,The Man of Steel meets his match!,Superman II,6.5,629
0,41894,en,0.397341,2010-02-01,0,0.0,Released,No one changes the world alone.,Blood Done Sign My Name,6.0,5
17000000,146,zh,45.742254,2000-10-01,213525736,120.0,Released,"A timeless story of strength, secrets and two warriors who would never surrender.","Crouching Tiger, Hidden Dragon",7.2,927
180000000,68726,en,56.523205,2013-07-11,407602906,131.0,Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
25000000,1268,en,27.683874,2007-03-22,229736344,90.0,Released,Disaster has a passport.,Mr. Bean's Holiday,6.1,663
7500000,326284,en,4.943588,2015-05-07,0,104.0,Released,The black market is about to get bloody,Pound of Flesh,5.5,63
68000000,24021,en,107.069763,2010-06-23,698491347,124.0,Released,It all begins ... With a choice.,The Twilight Saga: Eclipse,5.8,2301
65000000,294272,en,31.974359,2016-08-10,143695338,102.0,Released,Some secrets are too big to keep.,Pete's Dragon,6.2,679
150000000,13475,en,73.616808,2009-05-06,385680446,127.0,Released,The future begins.,Star Trek,7.4,4518
0,161795,en,0.605645,1998-04-22,0,117.0,Released,Your future is set...,Déjà Vu,8.0,1
35000000,271718,en,72.774941,2015-07-17,140795793,125.0,Released,We All Know One.,Trainwreck,5.9,1181
175000000,105864,en,51.692953,2015-11-14,331926147,93.0,Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
0,10735,en,7.057765,2003-03-27,0,105.0,Released,Trying to fit in. Born to stand out.,What a Girl Wants,5.8,368
98000000,1408,en,7.029308,1995-12-22,10017322,119.0,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,136
35000000,11622,en,8.737058,1999-02-12,40263020,112.0,Released,She'd never met anyone like him. He's never met anyone... Period.,Blast from the Past,6.3,245
0,19457,en,10.150993,2000-04-27,0,115.0,Released,He's the target of the most merciless family in New York. His own.,The Yards,6.0,97
7000000,3291,en,17.717681,2005-09-16,54600000,93.0,Released,They took on the Government with nothing but the truth.,"Good Night, and Good Luck.",6.8,273
2000000,11302,en,5.941852,1971-04-28,11833696,82.0,Released,,Bananas,6.7,165
0,38786,en,0.005256,2005-11-25,0,90.0,Released,,The Blood of My Brother: A Story of Death in Iraq,0.0,0
17000000,16028,en,4.544216,2002-11-01,0,89.0,Released,Are you afraid of the dark? You should be.,They,4.6,74
500000,117942,en,1.600171,2012-03-28,0,104.0,Released,,Girls Gone Dead,3.5,14
0,31174,en,5.107235,1995-12-29,0,104.0,Released,"I can smile, and murder while I smile",Richard III,6.9,49
3000000,39939,en,16.312803,2001-01-18,18492362,100.0,Released,,Super Troopers,6.6,362
21000000,7341,en,4.781538,1999-03-11,17762705,104.0,Released,Looks Can Kill,The Rage: Carrie 2,5.1,76
50000000,11615,en,22.442241,2003-02-21,38955598,130.0,Released,The crime is clear. The truth is not.,The Life of David Gale,7.3,480
15000000,116,en,30.669913,2005-10-26,85306374,124.0,Released,Passion Temptation Obsession,Match Point,7.3,1105
8000000,73873,en,7.802245,2011-12-21,5634828,113.0,Released,A man with a secret. A woman with a dream.,Albert Nobbs,6.2,132
0,30379,en,0.809588,2001-09-07,0,104.0,Released,"In The Beginning, The End Had A Name.",Megiddo: The Omega Code 2,3.6,8
8500000,272693,en,40.28709,2015-02-20,43528634,100.0,Released,"You either know one, you have one, or you are one.",The DUFF,6.8,1322
10000000,67911,en,3.919057,2011-09-09,0,97.0,Released,There Are No Small Actors. Just Small Parts.,Bucky Larson: Born to Be a Star,4.4,51
18000000,127560,en,13.916583,2013-12-26,22309223,116.0,Released,Revenge is never a straight line.,The Railway Man,6.7,273
25000000,174751,en,15.333575,2016-01-01,1397284,98.0,Released,,Jane Got a Gun,5.4,285
0,44990,en,0.67457,2009-03-14,0,88.0,Released,,Breaking Upwards,5.6,12
13000000,69270,en,4.009379,2010-01-01,0,95.0,Released,,Super Hybrid,4.6,24
16000000,18475,en,0.830596,2004-09-03,12,97.0,Released,"This summer, get your grill on!",The Cookout,4.6,10
57000000,8840,en,31.791979,1996-05-31,115267375,103.0,Released,You will believe.,DragonHeart,6.4,535
22000000,19366,en,6.404571,2001-04-06,0,98.0,Released,"They were three small time girls, with big time dreams. Now, fate is giving the Pussycats, the chance of a lifetime.",Josie and the Pussycats,5.3,72
54000000,752,en,84.630969,2006-03-15,132511035,132.0,Released,People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,7.7,4442
135000000,49519,en,64.183321,2013-03-20,585178928,98.0,Released,Meet the first modern family.,The Croods,6.8,2399
45000000,11359,en,11.095914,1995-07-14,0,96.0,Released,,The Indian in the Cupboard,5.9,134
60000000,5820,en,15.352807,2006-04-19,77920346,108.0,Released,"In 141 years, there's never been a traitor in the Secret Service.... Until Now.",The Sentinel,5.8,225
0,17734,en,6.997495,2001-09-02,0,104.0,Released,Ask yourself if you're really happy.,Thirteen Conversations About One Thing,6.4,25
10000000,18191,en,2.803642,2005-08-31,0,82.0,Released,Every fear hides a wish.,Edmond,6.0,50
100000000,22972,en,30.254021,2010-03-11,94882889,115.0,Released,Chief Warrant Officer Roy Miller is done following orders,Green Zone,6.4,717
8000000,11152,en,13.715715,2008-04-02,0,91.0,Released,Terror has evolved.,The Ruins,5.6,265
22000000,10950,en,26.071644,2001-12-28,92542418,132.0,Released,love is all you need,I Am Sam,7.2,530
32000000,18254,en,4.602185,1981-12-25,40382659,195.0,Released,Not since Gone With The Wind has there been a great romantic epic like it!,Reds,7.1,67
40000000,232672,en,44.120328,2014-05-21,123494610,117.0,Released,"Single Dad, No Clue. Single Mum, Flying Solo.",Blended,6.6,1006
8000000,9490,en,7.894489,1998-01-16,17460020,82.0,Released,They'll do anything to save their best bud.,Half Baked,6.4,177
6800000,14576,en,4.665309,2003-05-18,0,101.0,Released,"Lie, cheat, steal... your deal!",Shade,6.1,73
3500000,10634,en,25.5748,1995-04-26,28215918,91.0,Released,A lot can go down between thursday and saturday...,Friday,7.0,503
6500000,9781,en,5.700333,1999-08-13,4217115,95.0,Released,Kiss The Rules Goodbye.,Detroit Rock City,6.7,100
0,157058,en,1.737032,2013-01-14,0,80.0,Released,Based on true events... that may not have happened,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2.9,28
100000,18925,en,4.563698,2006-09-29,10178331,111.0,Released,Never give up. Never back down. Never lose faith.,Facing the Giants,6.6,64
15000000,97430,en,17.672021,2012-11-02,15608545,96.0,Released,You can't spell Kung Fu without F and U!,The Man with the Iron Fists,5.2,358
58000000,72431,en,12.29603,2012-01-19,50365377,125.0,Released,High-Octane Action and Daring Dogfights!,Red Tails,5.9,178
80000000,8870,en,13.800656,2000-11-10,33463969,106.0,Released,Not A Sound. Not A Warning. Not A Chance. Not Alone.,Red Planet,5.4,267
22000000,38985,en,9.088209,1977-06-24,12000000,121.0,Released,WANTED. Four men willing to drive a cargo of death to escape a life in hell.,Sorcerer,7.4,98
0,407887,ko,6.116436,2016-07-27,0,110.0,Released,The Odds Were 5000 to 1 … One was all They Needed.,Operation Chromite,5.8,29
100000000,2277,en,24.939295,1999-12-17,93700000,131.0,Released,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,6.9,963
5000000,313922,en,30.001024,2016-04-15,3220371,95.0,Released,One way in. No way out.,Green Room,6.7,683
18000000,195589,en,36.471231,2014-05-08,268157400,96.0,Released,Family vs. Frat,Neighbors,6.2,2713
32000000,20857,en,5.683281,2001-09-14,40222729,106.0,Released,The most important thing in life is showing up,Hardball,6.3,123
0,104896,en,0.838938,1999-08-27,0,96.0,Released,,A Dog Of Flanders,6.4,6
6000000,13990,en,7.161051,2008-07-03,2899975,99.0,Released,,The Wackness,6.2,94
25000000,13155,en,5.650125,1985-06-21,11137801,109.0,Released,An all-new adventure down the yellow brick road.,Return to Oz,6.7,120
35000000,2447,en,3.721272,2006-12-01,0,101.0,Released,Her child would change the world.,The Nativity Story,6.4,35
4000000,242095,en,27.662696,2014-03-15,600896,95.0,Released,R U Agitated?,The Signal,5.8,631
70000000,3093,en,13.483387,2006-03-29,38629478,114.0,Released,Everything interesting begins in the mind,Basic Instinct 2,4.6,180
130000000,417859,en,20.678787,2011-10-28,554987477,90.0,Released,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451
0,57943,en,0.116873,1998-02-01,0,98.0,Released,A letter from the past would change their future forever.,The Love Letter,4.7,3
56000000,11358,en,23.438398,2004-04-02,57223890,86.0,Released,One man will stand up for what's right.,Walking Tall,6.0,381
80000000,754,en,46.075037,1997-06-27,245676146,138.0,Released,"In order to catch him, he must become him.",Face/Off,6.8,1583
60000000,14411,en,18.815442,2003-07-02,26288320,86.0,Released,,Sinbad: Legend of the Seven Seas,6.6,372
0,29920,sv,7.217328,2010-01-15,0,124.0,Released,,Easy Money,6.5,63
10000000,43090,en,3.753703,2010-04-30,0,89.0,Released,Fastest draw in the North... kinda.,Gunless,6.7,27
10000000,214,en,33.124871,2006-10-27,163876815,108.0,Released,Suffering? You Haven't Seen Anything Yet...,Saw III,6.1,1071
25000000,19495,en,8.212018,2005-07-17,0,112.0,Released,Courage know no limit,Nomad: The Warrior,4.3,17
20000000,2428,en,3.011205,1965-02-15,15473333,199.0,Released,,The Greatest Story Ever Told,6.5,41
15000000,11478,en,11.375032,2000-03-31,35007180,106.0,Released,Getting in is easy. Getting out is a killer.,The Skulls,5.8,156
0,58492,en,0.692497,2011-04-22,621951,87.0,Released,"He's not selling out, he's buying in.",The Greatest Movie Ever Sold,6.4,88
15000000,75033,en,1.897761,2011-09-16,0,107.0,Released,Her courage inspired a nation.,Winnie Mandela,5.2,5
12000000,61752,en,2.993939,1996-03-22,4939939,108.0,Released,"A fresh, sassy and sexy comedy!",Girl 6,5.7,16
30000000,45610,en,13.268936,2011-09-23,2527904,129.0,Released,Hope is the greatest weapon of all,Machine Gun Preacher,6.4,286
120000000,87827,en,51.328145,2012-11-20,609016565,127.0,Released,Believe The Unbelievable,Life of Pi,7.2,5797
16500000,11093,en,12.102725,2003-12-19,16942795,126.0,Released,Some dreams can't be shared.,House of Sand and Fog,7.0,199
9300000,11827,en,12.928269,1981-08-07,0,90.0,Released,A Step Beyond Science Fiction,Heavy Metal,6.2,148
20000000,76617,en,26.497025,2013-01-03,47241945,92.0,Released,Evil wears many faces.,Texas Chainsaw 3D,5.3,465
37000000,10096,en,41.569541,2004-04-13,96455697,98.0,Released,"For some, 13 feels like it was just yesterday. For Jenna, it was.",13 Going on 30,6.3,1204
900000,19344,en,7.145832,2006-03-08,0,76.0,Released,,Loving Annabelle,6.4,55
30000000,16232,en,2.850896,2004-06-15,21800302,104.0,Released,Big league. Big mouth. Big time.,Mr. 3000,5.0,66
50000000,109443,en,38.125008,2013-12-18,173649015,119.0,Released,It's kind of a big deal,Anchorman 2: The Legend Continues,6.0,923
90000000,9447,en,11.356079,1998-11-25,69131860,92.0,Released,This little pig went to the city...,Babe: Pig in the City,5.2,305
30000000,307081,en,65.364452,2015-06-15,91709827,123.0,Released,Believe in Hope.,Southpaw,7.3,2067
50000,20981,en,1.777148,2005-01-01,0,47.0,Released,,The Call of Cthulhu,6.9,41
40000000,508,en,37.073127,2003-09-07,244931766,135.0,Released,The ultimate romantic comedy.,Love Actually,7.0,1869
45000000,926,en,30.816341,1999-12-23,90683916,102.0,Released,A comedy of Galactic Proportions.,Galaxy Quest,6.9,710
0,27329,th,0.843067,2001-08-17,0,185.0,Released,,The Legend of Suriyothai,5.1,6
83000000,889,en,6.248309,2000-04-28,59468275,90.0,Released,Get ready to rock!,The Flintstones in Viva Rock Vegas,4.4,134
258000000,559,en,115.699814,2007-05-01,890871626,139.0,Released,The battle within.,Spider-Man 3,5.9,3576
55000000,9374,en,29.498304,1992-07-30,149022650,104.0,Released,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.,Death Becomes Her,6.3,636
10000000,87093,en,28.570174,2014-12-24,28883511,105.0,Released,She created it. He sold it. And they bought it.,Big Eyes,6.8,1196
50000000,4959,en,13.391833,2009-02-03,60161391,118.0,Released,Is your money making a killing?,The International,6.0,368
0,5528,fr,20.982455,2004-03-17,0,96.0,Released,,The Chorus,7.5,526
7000000,398,en,17.434862,2005-09-30,49084830,114.0,Released,In Cold Blood,Capote,6.8,384
0,25388,en,3.829937,1977-09-08,0,107.0,Released,,March or Die,6.2,16
50000000,50646,en,37.990705,2011-07-29,142851197,118.0,Released,This Is Stupid,"Crazy, Stupid, Love.",7.0,2443
24000000,4935,ja,49.549984,2004-11-19,234710455,119.0,Released,The two lived there,Howl's Moving Castle,8.2,1991
31000000,87502,en,42.213765,2012-11-02,161772375,138.0,Released,,Flight,6.5,2415
0,11404,en,7.667888,2006-04-30,0,98.0,Released,,Driving Lessons,6.3,47
0,10219,en,2.79483,1999-12-22,0,127.0,Released,From the director of 'Shine',Snow Falling on Cedars,6.3,32
20000000,241239,en,37.629309,2014-12-30,12007070,125.0,Released,The result is never in question. Just the path you take to get there.,A Most Violent Year,6.5,546
12000000,96399,en,5.759545,2012-06-01,9622846,145.0,Released,The True Story of Cristiada,For Greater Glory - The True Story of Cristiada,6.4,35
18000000,332411,en,10.144222,2016-04-14,0,92.0,Released,I lay my vengeance upon them.,I Am Wrath,4.5,179
105000000,77931,en,32.473628,2013-07-30,347434178,105.0,Released,Get ready to get naughty!,The Smurfs 2,5.5,695
34000000,198663,en,131.815575,2014-09-10,348319861,113.0,Released,Run - Remember - Survive,The Maze Runner,7.0,5371
27000000,385383,en,1.224105,2016-07-22,0,90.0,Released,One way in. No way out.,Fight Valley,3.9,8
30000000,11836,en,27.870755,2004-11-14,140161792,87.0,Released,Bigger. Better. More absorbent.,The SpongeBob SquarePants Movie,6.7,574
5000000,1024,en,8.753409,1994-09-02,3049135,99.0,Released,From a secret world no one could see... came a crime no one could believe.,Heavenly Creatures,7.0,294
17000000,9310,en,7.864011,2006-03-04,7314027,107.0,Released,Imagine a country where more people vote for a pop idol than they do for their next President.,American Dreamz,4.9,95
41300000,2069,en,23.441135,2000-02-18,106371651,98.0,Released,"In the heart of suburbia, a hit man with heart has just moved in.",The Whole Nine Yards,6.2,531
2000000,109513,en,16.668854,2012-08-22,14400000,100.0,Released,A Comedy That Never Takes Its Foot Off The Gas,Hit & Run,5.5,224
12000000,34549,en,1.081822,2001-10-05,17292381,86.0,Released,His World. His Rules.,Max Keeble's Big Move,5.4,33
25000000,8944,en,8.31653,2008-10-17,6673422,104.0,Released,Admit nothing.,What Just Happened,5.2,127
28000000,10577,en,6.756771,2000-12-22,33000337,99.0,Released,The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.,Dracula 2000,4.6,148
0,225235,ru,1.876621,2013-07-26,4037782,120.0,Released,,The Geographer Drank His Globe Away,7.3,23
40000000,68179,en,18.14218,2013-02-14,74597643,89.0,Released,Earth's greatest secrets are about to break out!,Escape from Planet Earth,5.7,332
0,86304,en,3.545991,2011-10-26,0,78.0,Released,May The Best Man Win,All Superheroes Must Die,4.2,13
155000000,87101,en,202.042635,2015-06-23,440603537,126.0,Released,Reset the future,Terminator Genisys,5.8,3631
0,26837,en,0.631571,2009-07-29,0,84.0,Released,,B-Girl,5.5,7
32000000,20766,en,41.075532,2009-11-25,27635305,111.0,Released,In a moment the world changed forever.,The Road,6.8,1087
32000000,109414,en,38.21708,2013-06-12,126041322,107.0,Released,Nothing ruins a party like the end of the world.,This Is the End,6.3,2359
13000000,9950,en,12.321302,2006-03-16,2636637,125.0,Released,,Find Me Guilty,6.5,138
22000000,251,en,41.967005,1990-07-12,505000000,127.0,Released,A love that will last forever.,Ghost,6.9,1339
100000000,157353,en,58.991388,2014-04-16,103039258,119.0,Released,"Yesterday, Dr. Will Caster was only human...",Transcendence,5.9,2295
48000000,4256,en,36.585509,2003-10-24,220673217,84.0,Released,Great trilogies come in threes.,Scary Movie 3,5.8,912
44000000,1369,en,38.653969,1985-05-21,300400432,96.0,Released,"What most people call hell, he calls home.",Rambo: First Blood Part II,6.3,864
0,174311,en,3.613577,2013-09-10,0,107.0,Released,All is busted. All is broke. All is bitter. All is BRIGHT.,All Is Bright,5.3,36
22000000,8999,en,17.7091,2005-11-11,57479076,108.0,Released,He never saw it coming.,Derailed,6.1,319
4000000,8618,en,3.771652,2006-10-02,13401952,109.0,Released,History. It's just one bloody thing after another.,The History Boys,6.6,66
0,79161,en,0.049921,2006-10-18,0,90.0,Released,Do you really want to know your parents?,51 Birch Street,6.8,6
6000000,792,en,49.802914,1986-12-18,138530565,120.0,Released,The first casualty of war is innocence.,Platoon,7.5,1205
18000000,1578,en,35.524457,1980-11-14,23000000,129.0,Released,,Raging Bull,7.7,938
0,162396,en,0.627763,1998-06-11,0,0.0,Released,,The Big Swap,0.0,0
27000,42497,en,0.027811,1971-01-01,0,64.0,Released,A unique experience in visual fantasy!,Pink Narcissus,6.0,9
0,42033,en,0.319792,1985-03-15,0,88.0,Released,The last defense. The last hope. The battle for the future of the world has begun.,Def-Con 4,2.8,10
2500000,254472,de,4.270489,2015-07-03,0,87.0,Released,"Get inside, get away, just don't get stung",Stung,4.9,63
15000000,37003,en,0.335195,2007-05-19,22730842,85.0,Released,Hear See Experience,U2 3D,6.7,10
0,8390,en,29.173266,2008-02-08,55447968,112.0,Released,Three relationships. Three disasters. One last chance.,"Definitely, Maybe",6.7,620
0,13551,en,3.069605,2006-11-07,0,85.0,Released,One life ends. Seven others begin.,The Dead Girl,6.4,66
8000000,504,en,19.683187,2003-11-16,60378584,110.0,Released,The first female serial killer of America,Monster,7.0,485
27000000,34584,en,47.862016,1984-04-05,20158808,102.0,Released,A boy who needs a friend finds a world that needs a hero in a land beyond imagination!,The NeverEnding Story,7.0,1002
70000000,395,en,42.957216,2004-08-12,171183863,101.0,Released,Whoever wins... We lose,AVP: Alien vs. Predator,5.5,1217
60000000,39538,en,38.820858,2011-09-08,137551594,106.0,Released,Nothing spreads like fear,Contagion,6.2,1325
0,2290,en,8.962245,1999-09-16,0,120.0,Released,"When all hope was lost, he invented it.",Jakob the Liar,6.0,90
105000000,49047,en,110.153618,2013-09-27,716392705,91.0,Released,Don't Let Go,Gravity,7.3,5751
