id,title,original_language,revenue,budget,runtime,status,tagline,vote_count,year,popularity_ranking
597,Titanic,en,1845034188,200000000,194.0,Released,Nothing on Earth could come between them.,7562,1997,7
271110,Captain America: Civil War,en,1153304495,250000000,147.0,Released,Divided We Fall,7241,2016,7
44833,Battleship,en,303025485,209000000,131.0,Released,The Battle for Earth Begins at Sea,2114,2012,5
135397,Jurassic World,en,1513528810,150000000,124.0,Released,The park is open.,8662,2015,6
37724,Skyfall,en,1108561013,200000000,143.0,Released,Think on your sins.,7604,2012,6
558,Spider-Man 2,en,783766341,200000000,127.0,Released,There's a hero in all of us.,4321,2004,6
68721,Iron Man 3,en,1215439994,200000000,130.0,Released,Unleash the power behind the armor.,8806,2013,6
12155,Alice in Wonderland,en,1025491110,200000000,108.0,Released,You're invited to a very important date.,4645,2010,6
36668,X-Men: The Last Stand,en,459359555,210000000,104.0,Released,Take a Stand,3525,2006,6
62211,Monsters University,en,743559607,200000000,104.0,Released,School never looked this scary.,3528,2013,7
8373,Transformers: Revenge of the Fallen,en,836297228,150000000,150.0,Released,Revenge is coming.,3138,2009,6
91314,Transformers: Age of Extinction,en,1091405097,210000000,165.0,Released,This is not war. It's extinction.,3095,2014,5
68728,Oz: The Great and Powerful,en,491868548,200000000,130.0,Released,"In Oz, nothing is what it seems",3530,2013,5
102382,The Amazing Spider-Man 2,en,705717432,200000000,142.0,Released,No more secrets.,4179,2014,6
20526,TRON: Legacy,en,400062763,170000000,125.0,Released,The Game Has Changed.,2841,2010,6
49013,Cars 2,en,559852396,200000000,106.0,Released,Ka-ciao!,2033,2011,5
44912,Green Lantern,en,219851172,200000000,114.0,Released,"In our darkest hour, there will be light.",2487,2011,5
10193,Toy Story 3,en,1066969703,200000000,103.0,Released,No toy gets left behind.,4597,2010,7
534,Terminator Salvation,en,371353001,200000000,115.0,Released,The End Begins.,2463,2009,5
168259,Furious 7,en,1506249360,190000000,137.0,Released,Vengeance Hits Home,4176,2015,7
72190,World War Z,en,531865000,200000000,116.0,Released,Remember Philly!,5560,2013,6
127585,X-Men: Days of Future Past,en,747862775,250000000,131.0,Released,"To save the future, they must alter the past",6032,2014,7
54138,Star Trek Into Darkness,en,467365246,190000000,132.0,Released,Earth Will Fall,4418,2013,7
81005,Jack the Giant Slayer,en,197687603,195000000,114.0,Released,Prepare for a giant adventure,2598,2013,5
64682,The Great Gatsby,en,351040419,105000000,143.0,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,3769,2013,7
9543,Prince of Persia: The Sands of Time,en,335154643,150000000,116.0,Released,Defy the Future,2317,2010,6
68726,Pacific Rim,en,407602906,180000000,131.0,Released,"To Fight Monsters, We Created Monsters",4794,2013,6
38356,Transformers: Dark of the Moon,en,1123746996,195000000,154.0,Released,The invasion we always feared. An enemy we never expected.,3299,2011,6
217,Indiana Jones and the Kingdom of the Crystal Skull,en,786636033,185000000,122.0,Released,The adventure continues . . .,2495,2008,5
105864,The Good Dinosaur,en,331926147,175000000,93.0,Released,Little Arms With Big Attitude,1736,2015,6
62177,Brave,en,538983207,185000000,93.0,Released,Change your fate.,4641,2012,6
188927,Star Trek Beyond,en,343471816,185000000,122.0,Released,,2568,2016,6
10681,WALL·E,en,521311860,180000000,98.0,Released,An adventure beyond the ordinar-E.,6296,2008,7
5174,Rush Hour 3,en,258022233,140000000,91.0,Released,The Rush Is On!,783,2007,6
14161,2012,en,769653595,200000000,158.0,Released,We Were Warned.,4903,2009,5
17979,A Christmas Carol,en,325233863,200000000,96.0,Released,Season's Greedings,1095,2009,6
76757,Jupiter Ascending,en,183987723,176000003,124.0,Released,Expand your universe.,2768,2015,5
258489,The Legend of Tarzan,en,356743061,180000000,109.0,Released,Human. Nature.,2430,2016,5
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,748806957,180000000,143.0,Released,Evil Has Reigned For 100 Years...,2629,2005,6
246655,X-Men: Apocalypse,en,543934787,178000000,144.0,Released,Only the strong will survive,4721,2016,6
155,The Dark Knight,en,1004558444,185000000,152.0,Released,Why So Serious?,12002,2008,8
14160,Up,en,735099082,175000000,96.0,Released,,6870,2009,7
15512,Monsters vs Aliens,en,381509870,175000000,94.0,Released,"When aliens attack, monsters fight back.",1423,2009,6
1726,Iron Man,en,585174222,140000000,126.0,Released,Heroes aren't born. They're built.,8776,2008,7
44826,Hugo,en,185770160,170000000,126.0,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,2141,2011,7
8487,Wild Wild West,en,222104681,170000000,106.0,Released,It's a whole new west.,1020,1999,5
1735,The Mummy: Tomb of the Dragon Emperor,en,401128639,145000000,112.0,Released,A New Evil Awakens.,1387,2008,5
297761,Suicide Squad,en,745000000,175000000,123.0,Released,Worst Heroes Ever,7458,2016,5
2698,Evan Almighty,en,173000000,175000000,96.0,Released,A comedy of biblical proportions,1151,2007,5
137113,Edge of Tomorrow,en,370541256,178000000,113.0,Released,"Live, Die, Repeat",4858,2014,7
9804,Waterworld,en,264218220,175000000,135.0,Released,Beyond the horizon lies the secret to a new beginning.,992,1995,5
14869,G.I. Joe: The Rise of Cobra,en,302469017,175000000,118.0,Released,"When all else fails, they don't.",1962,2009,5
150540,Inside Out,en,857611174,175000000,94.0,Released,Meet the little voices inside your head.,6560,2015,8
278927,The Jungle Book,en,966550600,175000000,106.0,Released,,2892,2016,6
10138,Iron Man 2,en,623933331,200000000,124.0,Released,"It's not the armor that makes the hero, but the man inside.",6849,2010,6
58595,Snow White and the Huntsman,en,396600000,170000000,127.0,Released,The Fairytale is Over,3118,2012,5
102651,Maleficent,en,758539785,180000000,97.0,Released,Don't believe the fairy tale.,4496,2014,7
119450,Dawn of the Planet of the Apes,en,710644566,170000000,130.0,Released,One last chance for peace.,4410,2014,7
79698,The Lovers,en,0,27000000,109.0,Released,Love is longer than life.,34,2015,4
64686,47 Ronin,en,150962475,175000000,119.0,Released,For courage. For loyalty. For honor.,1326,2013,5
100402,Captain America: The Winter Soldier,en,714766572,170000000,136.0,Released,In heroes we trust.,5764,2014,7
10192,Shrek Forever After,en,752600867,165000000,93.0,Released,It ain't Ogre... Til it's Ogre,1959,2010,6
158852,Tomorrowland,en,209154322,190000000,130.0,Released,Imagine a world where nothing is impossible.,2846,2015,6
177572,Big Hero 6,en,652105443,165000000,102.0,Released,From the creators of Wreck-it Ralph and Frozen,6135,2014,7
82690,Wreck-It Ralph,en,471222889,165000000,108.0,Released,The story of a regular guy just looking for a little wreck-ognition.,4570,2012,7
5255,The Polar Express,en,305875730,165000000,100.0,Released,This holiday season... believe.,1474,2004,6
47933,Independence Day: Resurgence,en,389681935,165000000,120.0,Released,We had twenty years to prepare. So did they.,2491,2016,4
10191,How to Train Your Dragon,en,494878759,165000000,98.0,Released,One adventure will change two worlds,4227,2010,7
296,Terminator 3: Rise of the Machines,en,435000000,200000000,109.0,Released,The Machines Will Rise.,2143,2003,5
118340,Guardians of the Galaxy,en,773328629,170000000,121.0,Released,All heroes start somewhere.,9742,2014,7
157336,Interstellar,en,675120017,165000000,169.0,Released,Mankind was born on Earth. It was never meant to die here.,10867,2014,8
27205,Inception,en,825532764,160000000,148.0,Released,Your mind is the scene of the crime.,13752,2010,8
315011,Shin Godzilla,ja,77000000,15000000,120.0,Released,A god incarnate. A city doomed.,143,2016,6
49051,The Hobbit: An Unexpected Journey,en,1021103568,250000000,169.0,Released,From the smallest beginnings come the greatest legends.,8297,2012,7
9799,The Fast and the Furious,en,207283925,38000000,106.0,Released,Live life 1/4 mile at a time.,3428,2001,6
4922,The Curious Case of Benjamin Button,en,333932083,150000000,166.0,Released,"Life isn't measured in minutes, but in moments.",3292,2008,7
49538,X-Men: First Class,en,353624124,160000000,132.0,Released,Witness the moment that will change our world.,5181,2011,7
131634,The Hunger Games: Mockingjay - Part 2,en,653428261,160000000,137.0,Released,The fire will burn forever.,3984,2015,6
27022,The Sorcerer's Apprentice,en,215283742,150000000,109.0,Released,It's The Coolest Job Ever.,1470,2010,5
503,Poseidon,en,181674817,160000000,99.0,Released,Mayday,583,2006,5
241259,Alice Through the Looking Glass,en,299370084,170000000,113.0,Released,It's time for a little madness.,1725,2016,6
810,Shrek the Third,en,798958165,160000000,93.0,Released,Who's ready for Thirds?,2278,2007,6
68735,Warcraft,en,433677183,160000000,123.0,Released,Two worlds. One home.,2268,2016,6
87101,Terminator Genisys,en,440603537,155000000,126.0,Released,Reset the future,3631,2015,5
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,en,415686217,155000000,113.0,Released,Return to magic. Return to hope. Return to Narnia.,1514,2010,6
676,Pearl Harbor,en,449220945,140000000,183.0,Released,It takes a moment to change history. It takes love to change lives.,1791,2001,6
1858,Transformers,en,709709780,150000000,144.0,Released,Their war. Our world.,4040,2007,6
1966,Alexander,en,167298192,155000000,175.0,Released,The greatest legend of all was real.,927,2004,5
675,Harry Potter and the Order of the Phoenix,en,938212738,150000000,138.0,Released,Evil Must Be Confronted.,5494,2007,7
674,Harry Potter and the Goblet of Fire,en,895921036,150000000,157.0,Released,Dark And Difficult Times Lie Ahead.,5608,2005,7
8960,Hancock,en,624029371,150000000,92.0,Released,Bad Behavior. Bad Attitude. Real Hero.,2961,2008,6
6479,I Am Legend,en,585349010,150000000,101.0,Released,The last man on Earth is not alone,4853,2007,6
118,Charlie and the Chocolate Factory,en,474968763,150000000,115.0,Released,Willy Wonka is semi-sweet and nuts.,3624,2005,6
2062,Ratatouille,en,623722818,150000000,111.0,Released,He's dying to become a chef.,4369,2007,7
272,Batman Begins,en,374218673,150000000,140.0,Released,Evil fears the knight.,7359,2005,7
10527,Madagascar: Escape 2 Africa,en,603900354,150000000,89.0,Released,Still together. Still lost!,1810,2008,6
18360,Night at the Museum: Battle of the Smithsonian,en,413106170,150000000,105.0,Released,When the lights go off the battle is on.,1971,2009,5
2080,X-Men Origins: Wolverine,en,373062864,150000000,107.0,Released,Witness the Origin.,4021,2009,6
605,The Matrix Revolutions,en,424988211,150000000,129.0,Released,Everything that has a beginning has an end.,3096,2003,6
109445,Frozen,en,1274219009,150000000,102.0,Released,Only the act of true love will thaw a frozen heart.,5295,2013,7
604,The Matrix Reloaded,en,738599701,150000000,138.0,Released,Free your mind.,3443,2003,6
76338,Thor: The Dark World,en,644571402,170000000,112.0,Released,Delve into the darkness,4755,2013,6
76341,Mad Max: Fury Road,en,378858340,150000000,120.0,Released,What a Lovely Day.,9427,2015,7
13448,Angels & Demons,en,356613439,150000000,138.0,Released,,2129,2009,6
10195,Thor,en,449326618,150000000,115.0,Released,Two worlds. One hero.,6525,2011,6
13053,Bolt,en,309979994,150000000,98.0,Released,Fully Awesome. Ridonculous. Let It Begin.,1750,2008,6
19585,G-Force,en,292817841,150000000,88.0,Released,The world needs bigger heroes,510,2009,5
57165,Wrath of the Titans,en,301000000,150000000,99.0,Released,Feel the Wrath,1431,2012,5
62213,Dark Shadows,en,245527149,150000000,113.0,Released,Every Family Has Its Demons,2320,2012,5
177677,Mission: Impossible - Rogue Nation,en,682330139,150000000,131.0,Released,Desperate Times. Desperate Measures.,3224,2015,7
7978,The Wolfman,en,0,150000000,102.0,Released,When the moon is full the legend comes to life,549,2010,5
5559,Bee Movie,en,287594577,150000000,91.0,Released,Born to bee wild.,1171,2007,5
49444,Kung Fu Panda 2,en,665692281,150000000,91.0,Released,Prepare for the Year of Awesomeness!,1880,2011,6
10196,The Last Airbender,en,318502923,150000000,103.0,Released,"Four nations, one destiny",1151,2010,4
956,Mission: Impossible III,en,397850012,150000000,126.0,Released,The Mission Begins 05:05:06.,2028,2006,6
117251,White House Down,en,205366737,150000000,131.0,Released,It will start like any other day.,1891,2013,6
50321,Mars Needs Moms,en,38992758,150000000,88.0,Released,Mom needs a little space.,199,2011,5
11619,Flushed Away,en,64459316,149000000,85.0,Released,Someone's Going Down,874,2006,6
266647,Pan,en,128388320,150000000,111.0,Released,Every legend has a beginning.,954,2015,5
82703,Mr. Peabody & Sherman,en,272912430,145000000,92.0,Released,He's Leaving His Mark On History,843,2014,6
652,Troy,en,497409852,175000000,163.0,Released,For passion. For honor. For destiny. For victory. For love.,2759,2004,6
80321,Madagascar 3: Europe's Most Wanted,en,746921274,145000000,93.0,Released,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",1808,2012,6
36669,Die Another Day,en,431971116,140000000,133.0,Released,He’s never been cooler.,1092,2002,5
43074,Ghostbusters,en,229147509,144000000,116.0,Released,Who You Gonna Call?,2142,2016,5
95,Armageddon,en,553799566,140000000,151.0,Released,The Earth's Darkest Day Will Be Man's Finest Hour,2482,1998,6
608,Men in Black II,en,441818803,140000000,88.0,Released,Same Planet. New Scum.,3114,2002,6
2310,Beowulf,en,195735876,70000000,115.0,Released,Evil breeds pain.,841,2007,5
140300,Kung Fu Panda 3,en,521170825,145000000,95.0,Released,Grab destiny by the rice dumplings.,1603,2016,6
56292,Mission: Impossible - Ghost Protocol,en,694713380,145000000,133.0,Released,No Plan. No Backup. No Choice.,3972,2011,6
81188,Rise of the Guardians,en,306941670,145000000,97.0,Released,You better believe.,1922,2012,7
7552,Fun with Dick and Jane,en,202026112,100000000,90.0,Released,Giving big businesses a run for their money!,627,2005,5
616,The Last Samurai,en,456758981,140000000,154.0,Released,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",1895,2003,7
147441,Exodus: Gods and Kings,en,268031828,140000000,150.0,Released,"Once brothers, now enemies.",1921,2014,5
13475,Star Trek,en,385680446,150000000,127.0,Released,The future begins.,4518,2009,7
557,Spider-Man,en,821708551,139000000,121.0,Released,With great power comes great responsibility.,5265,2002,6
82702,How to Train Your Dragon 2,en,609123048,145000000,102.0,Released,The training is over.,3106,2014,7
205584,Gods of Egypt,en,150680864,140000000,127.0,Released,The battle for eternity begins,1277,2016,5
10048,Stealth,en,76932943,135000000,121.0,Released,Fear The Sky,331,2005,4
13183,Watchmen,en,185258983,130000000,163.0,Released,Justice is coming to all of us.  No matter what we do.,2811,2009,7
944,Lethal Weapon 4,en,285444603,140000000,127.0,Released,The faces you love. The action you expect.,767,1998,6
1927,Hulk,en,245360480,137000000,138.0,Released,Unleash the hero within,1533,2003,5
72559,G.I. Joe: Retaliation,en,371876278,130000000,110.0,Released,,3025,2013,5
7364,Sahara,en,119269486,130000000,124.0,Released,Dirk Pitt. Adventure has a new name.,434,2005,5
2114,Final Fantasy: The Spirits Within,en,85131830,137000000,106.0,Released,Unleash a new reality,433,2001,5
1771,Captain America: The First Avenger,en,370569774,140000000,124.0,Released,When patriots become heroes,7047,2011,6
36643,The World Is Not Enough,en,361832400,135000000,128.0,Released,As the countdown begins for the new millennium there is still one number you can always count on.,862,1999,6
8619,Master and Commander: The Far Side of the World,en,212011111,150000000,138.0,Released,The courage to do the impossible lies in the hearts of men.,790,2003,6
50620,The Twilight Saga: Breaking Dawn - Part 2,en,829000000,120000000,115.0,Released,The epic finale that will live forever,2553,2012,6
65759,Happy Feet Two,en,150406466,130000000,100.0,Released,Every step counts.,373,2011,5
1724,The Incredible Hulk,en,163712074,150000000,114.0,Released,You'll like him when he's angry.,3021,2008,6
267935,The BFG,en,183345589,140000000,120.0,Released,The world is more giant than you can imagine.,1000,2016,6
281957,The Revenant,en,532950503,135000000,156.0,Released,"(n. One who has returned, as if from the dead.)",6396,2015,7
77950,Turbo,en,282570682,135000000,96.0,Released,SLO NO MO,1074,2013,6
44896,Rango,en,245724603,135000000,107.0,Released,Heroes come in all different colors.,2051,2011,6
270946,Penguins of Madagascar,en,373552094,132000000,92.0,Released,The Movie Event That Will Blow Their Cover,1346,2014,6
2503,The Bourne Ultimatum,en,442824138,70000000,115.0,Released,Remember everything. Forgive nothing.,2888,2007,7
9502,Kung Fu Panda,en,631744560,130000000,90.0,Released,Prepare for awesomeness.,3145,2008,6
102899,Ant-Man,en,519311965,130000000,117.0,Released,Heroes don't get any bigger.,5880,2015,7
101299,The Hunger Games: Catching Fire,en,847423452,130000000,146.0,Released,Every revolution begins with a spark.,6495,2013,7
228161,Home,en,368871007,135000000,94.0,Released,Worlds Collide,1519,2015,6
74,War of the Worlds,en,591739379,132000000,116.0,Released,They're already here.,2322,2005,6
8961,Bad Boys II,en,273339556,130000000,147.0,Released,"If you can't stand the heat, get out of Miami.",1564,2003,6
417859,Puss in Boots,en,554987477,130000000,90.0,Released,Live for danger. Fight for justice. Pray for mercy.,451,2011,6
27576,Salt,en,293329073,110000000,100.0,Released,Who is Salt?,2093,2010,6
86834,Noah,en,362637473,125000000,139.0,Released,The end of the world is just the beginning.,2350,2014,5
17578,The Adventures of Tintin,en,371940071,130000000,107.0,Released,"This year, discover how far adventure will take you.",2061,2011,6
673,Harry Potter and the Prisoner of Azkaban,en,789804554,130000000,141.0,Released,Something wicked this way comes.,5877,2004,7
6972,Australia,en,49554002,130000000,165.0,Released,Welcome to Australia!,694,2008,6
82700,After Earth,en,243843127,130000000,100.0,Released,"Danger is real, fear is a choice",2532,2013,5
10567,Dinosaur,en,354248063,127500000,82.0,Released,You have never seen anything like this.,542,2000,6
181533,Night at the Museum: Secret of the Tomb,en,349424282,127000000,97.0,Released,One Final Night to Save the Day.,1851,2014,6
38055,Megamind,en,321887208,130000000,95.0,Released,His brain is off the chain.,1918,2010,6
671,Harry Potter and the Philosopher's Stone,en,976475550,125000000,152.0,Released,Let the Magic Begin.,7006,2001,7
49524,R.I.P.D.,en,61648500,130000000,96.0,Released,To protect and serve the living,1260,2013,5
22,Pirates of the Caribbean: The Curse of the Black Pearl,en,655011224,140000000,143.0,Released,Prepare to be blown out of the water.,6985,2003,7
131631,The Hunger Games: Mockingjay - Part 1,en,752100229,125000000,123.0,Released,Fire burns brighter in the darkness,5584,2014,6
591,The Da Vinci Code,en,767820459,125000000,149.0,Released,Seek the truth.,2704,2006,6
172385,Rio 2,en,500188435,103000000,102.0,Released,"He's villainous, she's venomous.",978,2014,6
36658,X2,en,407711549,110000000,133.0,Released,The time has come for those who are different to stand united.,3506,2003,6
51497,Fast Five,en,626137675,125000000,130.0,Released,Get the Fifth Gear.,2438,2011,7
58574,Sherlock Holmes: A Game of Shadows,en,334615000,125000000,129.0,Released,The game is afoot.,3886,2011,7
18823,Clash of the Titans,en,232713139,125000000,106.0,Released,Titans will clash.,2233,2010,5
861,Total Recall,en,261317921,65000000,113.0,Released,"They stole his mind, now he wants it back.",1710,1990,7
1911,The 13th Warrior,en,61698899,160000000,102.0,Released,Prey for the living.,510,1999,6
49040,The Bourne Legacy,en,276572938,130000000,120.0,Released,There Was Never Just One,2651,2012,6
415,Batman & Robin,en,238207122,125000000,125.0,Released,Strength. Courage. Honor. And loyalty.,1418,1997,4
8871,How the Grinch Stole Christmas,en,345141403,123000000,104.0,Released,He puts the mean in green.,1386,2000,6
435,The Day After Tomorrow,en,544272402,125000000,124.0,Released,Where will you be?,2392,2004,6
955,Mission: Impossible II,en,546388105,125000000,123.0,Released,Expect the impossible again.,1928,2000,5
2133,The Perfect Storm,en,325756637,120000000,130.0,Released,The storm is coming.,597,2000,6
1979,Fantastic 4: Rise of the Silver Surfer,en,289047763,130000000,92.0,Released,Discover the secret of the Surfer.,2589,2007,5
87827,Life of Pi,en,609016565,120000000,127.0,Released,Believe The Unbelievable,5797,2012,7
1250,Ghost Rider,en,228738393,110000000,114.0,Released,Hell Is About To Be Unleashed,1712,2007,5
324668,Jason Bourne,en,415484914,120000000,123.0,Released,You know his name,2341,2016,5
9471,Charlie's Angels: Full Throttle,en,259175788,120000000,106.0,Released,This summer the Angels are back.,914,2003,5
70981,Prometheus,en,403170142,130000000,124.0,Released,The Search for Our Beginning Could Lead to Our End.,5080,2012,6
10996,Stuart Little 2,en,169956806,120000000,78.0,Released,A Little Goes A Long Way,613,2002,5
68724,Elysium,en,286140700,115000000,109.0,Released,He can save us all.,3439,2013,6
2789,The Chronicles of Riddick,en,115772733,105000000,119.0,Released,All the power in the universe can't change destiny,1570,2004,6
97020,RoboCop,en,242688965,120000000,102.0,Released,We've got the future under control.,2342,2014,5
7459,Speed Racer,en,93945766,120000000,135.0,Released,Go!,354,2008,5
42888,How Do You Know,en,48668907,120000000,121.0,Released,How do you know it's love?,223,2010,4
37834,Knight and Day,en,261930431,117000000,109.0,Released,Every Hit Man Deserves a Second Shot!,1547,2010,5
75612,Oblivion,en,286168572,120000000,124.0,Released,Earth is a memory worth fighting for,4800,2013,6
1895,Star Wars: Episode III - Revenge of the Sith,en,850000000,113000000,140.0,Released,The saga is complete.,4116,2005,7
1894,Star Wars: Episode II - Attack of the Clones,en,649398328,120000000,142.0,Released,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,3992,2002,6
585,"Monsters, Inc.",en,562816256,115000000,92.0,Released,We Scare Because We Care.,5996,2001,7
76170,The Wolverine,en,415440673,120000000,126.0,Released,"When he's most vulnerable, he's most dangerous.",4053,2013,6
1893,Star Wars: Episode I - The Phantom Menace,en,924317558,115000000,136.0,Released,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,4432,1999,6
49519,The Croods,en,585178928,135000000,98.0,Released,Meet the first modern family.,2399,2013,6
2395,Asterix at the Olympic Games,fr,132900000,97250400,116.0,Released,,471,2008,5
12100,Windtalkers,en,77628265,115000000,134.0,Released,Honor Was Their Code.,341,2002,5
290595,The Huntsman: Winter's War,en,164602163,115000000,114.0,Released,The story before Snow White,1523,2016,6
98566,Teenage Mutant Ninja Turtles,en,477200000,125000000,101.0,Released,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,2636,2014,5
49047,Gravity,en,716392705,105000000,91.0,Released,Don't Let Go,5751,2013,7
9619,Dante's Peak,en,178127760,116000000,108.0,Released,The pressure is building...,428,1997,5
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,en,245623848,135000000,112.0,Released,Raise some shell.,963,2016,5
166424,Fantastic Four,en,167977596,120000000,100.0,Released,Change is coming.,2278,2015,4
1593,Night at the Museum,en,574480841,110000000,108.0,Released,Where History Comes To Life,2862,2006,6
254128,San Andreas,en,470490832,110000000,114.0,Released,"A rescue pilot survived an earthquake, this is what happens next",2968,2015,6
714,Tomorrow Never Dies,en,333011068,110000000,119.0,Released,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,925,1997,6
2024,The Patriot,en,215294342,110000000,165.0,Released,Some things are worth fighting for.,1099,2000,6
163,Ocean's Twelve,en,362744280,110000000,125.0,Released,Twelve is the new eleven.,2124,2004,6
787,Mr. & Mrs. Smith,en,478207520,110000000,120.0,Released,Smart and sexy.,2965,2005,6
262500,Insurgent,en,295238201,110000000,119.0,Released,One Choice Can Destroy You,3829,2015,6
2567,The Aviator,en,102000000,116000000,170.0,Released,"For some men, the sky was the limit. For him, it was just the beginning.",1489,2004,7
38745,Gulliver's Travels,en,237382724,112000000,85.0,Released,Something big is going down.,621,2010,4
40805,The Green Hornet,en,227817248,120000000,119.0,Released,Breaking the Law to Protect It.,1251,2011,5
53182,300: Rise of an Empire,en,337580051,110000000,102.0,Released,Seize your glory!,2397,2014,6
41513,The Smurfs,en,563749323,110000000,103.0,Released,Smurf Happens.,1179,2011,5
13700,Home on the Range,en,103951461,110000000,76.0,Released,Bust a Moo,389,2004,5
262504,Allegiant,en,179246868,110000000,121.0,Released,Break the boundaries of your world,1998,2016,5
39254,Real Steel,en,299268508,110000000,127.0,Released,"If you get one shot, make it real.",2692,2011,6
77931,The Smurfs 2,en,347434178,105000000,105.0,Released,Get ready to get naughty!,695,2013,5
1639,Speed 2: Cruise Control,en,164508066,160000000,121.0,Released,"As the stakes get higher, the ride gets even faster.",434,1997,4
80274,Ender's Game,en,125537191,110000000,114.0,Released,This is not a game.,2303,2013,6
1571,Live Free or Die Hard,en,383531464,110000000,128.0,Released,The old school cop is back!,2089,2007,6
120,The Lord of the Rings: The Fellowship of the Ring,en,871368364,93000000,178.0,Released,One ring to rule them all,8705,2001,8
10204,Around the World in 80 Days,en,72178895,110000000,120.0,Released,Let your imagination soar.,672,2004,5
8489,Ali,en,87713825,107000000,157.0,Released,Float like a butterfly and sting like a bee.,447,2001,6
10588,The Cat in the Hat,en,0,0,82.0,Released,Don't mess with the hat.,366,2003,4
2048,"I, Robot",en,347234916,120000000,115.0,Released,Laws are made to be broken.,3793,2004,6
1495,Kingdom of Heaven,en,211643158,130000000,144.0,Released,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",1157,2005,6
10137,Stuart Little,en,300135367,133000000,84.0,Released,The Little Family Just Got Bigger,959,1999,5
10198,The Princess and the Frog,en,267045765,105000000,97.0,Released,Every Love Story Begins With a Kiss...,1247,2009,6
286217,The Martian,en,630161890,108000000,141.0,Released,Bring Him Home,7268,2015,7
1635,The Island,en,162949164,126000000,136.0,Released,Your time will come...,1770,2005,6
24113,Town & Country,en,10372291,90000000,104.0,Released,There's no such thing as a small affair.,16,2001,3
9679,Gone in Sixty Seconds,en,237202299,90000000,118.0,Released,"Ice Cold, Hot Wired.",1485,2000,6
98,Gladiator,en,457640427,103000000,155.0,Released,A Hero Will Rise.,5439,2000,7
180,Minority Report,en,358372926,102000000,145.0,Released,The system is perfect until it comes after you.,2608,2002,7
